"rules","support","confidence","coverage","lift","count","pvalue_test"
"{FBXL22_1=1,BCAT2_1=1,CHPT1_1=1,POLI_1_homo=1} => {grading=0}",0.0396825396825397,0.909090909090909,0.0436507936507936,1.83272727272727,10,6.31878750350325e-09
"{FBXL22_1=1,BCAT2_1=1,CHPT1_1=1,TMEM40_2=1} => {grading=0}",0.0396825396825397,0.909090909090909,0.0436507936507936,1.83272727272727,10,6.31878750350325e-09
"{FBXL22_1=1,BCAT2_1=1,CHPT1_1=1,RBM11_1_homo=1} => {grading=0}",0.0317460317460317,0.8,0.0396825396825397,1.6128,8,6.31878750350325e-09
"{FBXL22_1=1,IGFBP2_1=1,BCAT2_1=1,POLI_1_homo=1} => {grading=0}",0.0317460317460317,0.8,0.0396825396825397,1.6128,8,6.31878750350325e-09
"{FBXL22_1=1,BCAT2_1=1,POLI_1_homo=1,MTHFD1_1_homo=1} => {grading=0}",0.0317460317460317,1,0.0317460317460317,2.016,8,6.31878750350325e-09
"{FBXL22_1=1,BCAT2_1=1,TMEM40_2=1,POLI_1_homo=1} => {grading=0}",0.0515873015873016,0.866666666666667,0.0595238095238095,1.7472,13,6.31878750350325e-09
"{FBXL22_1=1,BCAT2_1=1,RBM11_1_homo=1,POLI_1_homo=1} => {grading=0}",0.0357142857142857,0.818181818181818,0.0436507936507936,1.64945454545455,9,6.31878750350325e-09
"{FBXL22_1=1,BCAT2_1=1,POLI_1_homo=1,RHBDF2_1_homo=1} => {grading=0}",0.0317460317460317,0.8,0.0396825396825397,1.6128,8,1.03663702715622e-10
"{FBXL22_1=1,BCAT2_1=1,IL17RC_1_homo=1,POLI_1_homo=1} => {grading=0}",0.0396825396825397,0.833333333333333,0.0476190476190476,1.68,10,6.31878750350325e-09
"{FBXL22_1=1,BCAT2_1=1,C1orf109_1=1,POLI_1_homo=1} => {grading=0}",0.0357142857142857,0.9,0.0396825396825397,1.8144,9,6.31878750350325e-09
"{PDE11A_2=1,FBXL22_1=1,BCAT2_1=1,POLI_1_homo=1} => {grading=0}",0.0396825396825397,0.833333333333333,0.0476190476190476,1.68,10,6.31878750350325e-09
"{FBXL22_1=1,LSR_1=1,BCAT2_1=1,POLI_1_homo=1} => {grading=0}",0.0436507936507936,0.846153846153846,0.0515873015873016,1.70584615384615,11,1.49512485694478e-12
"{FBXL22_1=1,SLC24A3_1=1,BCAT2_1=1,POLI_1_homo=1} => {grading=0}",0.0436507936507936,0.846153846153846,0.0515873015873016,1.70584615384615,11,1.03663702715622e-10
"{FBXL22_1=1,BCAT2_1=1,POLI_1_homo=1,APOBEC1_1_homo=1} => {grading=0}",0.0515873015873016,0.928571428571429,0.0555555555555556,1.872,13,1.03663702715622e-10
"{FBXL22_1=1,IGFBP2_1=1,BCAT2_1=1,MTHFD1_1_homo=1} => {grading=0}",0.0317460317460317,0.8,0.0396825396825397,1.6128,8,1.49512485694478e-12
